"No","품목일련번호 [PTNT_PRDLST_CRTR_CD] ","제품명 [PRDLST_NM] ","주성분명 [DRUG_CPNT_KOR_NM] ","주성분명(영문) [DRUG_CPNT_ENG_NM] ","특허권등재자 [BSSH_NM] ","등재특허권자 [PTHD_NM] ","등재일자 [PTNT_REG_DT] ","특허번호 [PTNT_NO] ","rownum"
"142","199906994","타코실","피브리노겐","Fibrinogen","대한적십자사","다케다 니코메드 에이에스","2018-02-21 00:00:00","10-1833035-0000","142"
"143","199906994","타코실","피브리노겐","Fibrinogen","대한적십자사","다케다 에이에스","2008-05-09 00:00:00","10-0830294-0000","143"
"144","199906994","타코실","피브리노겐","Fibrinogen","대한적십자사","다케다 에이에스","2018-02-21 00:00:00","10-1833035-0000","144"
"145","199907012","미카르디스정40밀리그램(텔미사르탄)","텔미사르탄","Telmisartan","한국베링거인겔하임(주)","베링거 잉겔하임 파르마 게엠베하 운트 코 카게","1999-06-11 00:00:00","10-0218820-0000","145"
"146","199907013","미카르디스정80밀리그램(텔미사르탄)","텔미사르탄","Telmisartan","한국베링거인겔하임(주)","베링거 잉겔하임 파르마 게엠베하 운트 코 카게","1999-06-11 00:00:00","10-0218820-0000","146"
"147","199907046","조믹정2.5밀리그램(졸미트립탄)","졸미트립탄","Zolmitriptan","한국아스트라제네카(주)","아스트라제네카 아베","1999-05-25 00:00:00","10-0215627-0000","147"
"148","199907155","유니필서방정200mg(테오필린)","테오필린","Theophylline","한국먼디파마 유한회사","먼디파머 래버러토리즈 게엠베하","1998-01-21 00:00:00","10-0136279-0000","148"
"149","199907156","유니필서방정400mg(테오필린)","테오필린","Theophylline","한국먼디파마 유한회사","먼디파머 래버러토리즈 게엠베하","1998-01-21 00:00:00","10-0136279-0000","149"
"150","200000548","파스틱정30밀리그램(나테글리니드)","나테글리니드","Nateglinide","일동제약(주)","이에이 파마 가부시키 가이샤","2002-06-21 00:00:00","10-0343062-0000","150"
"151","200000549","파스틱정90밀리그램(나테글리니드)","나테글리니드","Nateglinide","일동제약(주)","이에이 파마 가부시키 가이샤","2009-01-30 00:00:00","10-0882156-0000","151"
"152","200000601","고덱스캡슐","리보플라빈","Riboflavin","(주)셀트리온제약","주식회사 셀트리온제약","2001-04-14 00:00:00","10-0294329-0000","152"
"153","200000601","고덱스캡슐","비페닐디메틸디카르복실레이트","Biphenyl Dimethyl Dicarboxylate","(주)셀트리온제약","주식회사 셀트리온제약","2001-04-14 00:00:00","10-0294329-0000","153"
"154","200000601","고덱스캡슐","시아노코발라민","Cyanocobalamin","(주)셀트리온제약","주식회사 셀트리온제약","2001-04-14 00:00:00","10-0294329-0000","154"
"155","200000601","고덱스캡슐","아데닌염산염","Adenine Hydrochloride","(주)셀트리온제약","주식회사 셀트리온제약","2001-04-14 00:00:00","10-0294329-0000","155"
"156","200000601","고덱스캡슐","오로트산카르니틴","Carnitine Orotate","(주)셀트리온제약","주식회사 셀트리온제약","2001-04-14 00:00:00","10-0294329-0000","156"
"157","200000601","고덱스캡슐","피리독신염산염","Pyridoxine Hydrochloride","(주)셀트리온제약","주식회사 셀트리온제약","2001-04-14 00:00:00","10-0294329-0000","157"
"158","200000601","고덱스캡슐","항독성간장엑스","Antitoxic Liver Extract","(주)셀트리온제약","주식회사 셀트리온제약","2001-04-14 00:00:00","10-0294329-0000","158"
"159","200000796","아리셉트정5밀리그램(도네페질염산염)","도네페질염산염","Donepezil Hydrochloride","(주)대웅제약","에자이 가부시키가이샤","2005-10-12 00:00:00","10-0522574-0000","159"
"160","200000797","아리셉트정10밀리그램(도네페질염산염)","도네페질염산염","Donepezil Hydrochloride","(주)대웅제약","에자이 가부시키가이샤","2005-10-12 00:00:00","10-0522574-0000","160"
"161","200001279","알레그라정180밀리그람(펙소페나딘염산염)","펙소페나딘염산염","Fexofenadine Hydrochloride","(주)한독","아벤티서브 투, 인코포레이티드","2003-10-30 00:00:00","10-0405116-0000","161"
"162","200001308","알레그라디정","수도에페드린염산염","Pseudoephedrine Hydrochloride","(주)한독","아벤티서브 투. 인코포레이티드","2005-09-05 00:00:00","10-0514264-0000","162"
"163","200001308","알레그라디정","펙소페나딘염산염","Fexofenadine Hydrochloride","(주)한독","아벤티서브 투. 인코포레이티드","2005-09-05 00:00:00","10-0514264-0000","163"
"164","200002421","헤파멜즈시럽(L-아스파르트산-L-오르니틴)","L-아스파르트산-L-오르니틴","L-Ornithine-L-Aspartate","한화제약(주)","한화제약주식회사/양지화학 주식회사","2010-07-09 00:00:00","10-0970664-0000","164"
"165","200003116","실리만연질캡슐140(밀크시슬엑스)","밀크시슬엑스","Milk-thistle Fruit Extract","한미약품(주)","한미약품주식회사","2002-06-20 00:00:00","10-0342942-0000","165"
"166","200005147","비사도큐정(수출용)","도큐세이트나트륨","Docusate Sodium","(주)삼양바이오팜","주식회사 삼양바이오팜","2004-03-17 00:00:00","10-0425028-0000","166"
"167","200005147","비사도큐정(수출용)","비사코딜","Bisacodyl","(주)삼양바이오팜","주식회사 삼양바이오팜","2004-03-17 00:00:00","10-0425028-0000","167"
"168","200008571","자이복스정600밀리그람(리네졸리드)","리네졸리드","Linezolid","한국화이자제약(주)","파마시아 앤드 업존 캄파니 엘엘씨","2001-06-22 00:00:00","10-0301269-0000","168"
"169","200008729","후릭소타이드네뷸0.5밀리그램(플루티카손프로피오네이트(미분화))","플루티카손프로피오네이트(미분화)","Fluticasone Propionate Micronized","(주)글락소스미스클라인","글락소 웰컴 오스트레일리아 피티와이 엘티디","2002-11-05 00:00:00","10-0361413-0000","169"
"170","200008730","후릭소타이드네뷸2밀리그램(플루티카손프로피오네이트(미분화))","플루티카손프로피오네이트(미분화)","Fluticasone Propionate Micronized","(주)글락소스미스클라인","글락소 웰컴 오스트레일리아 피티와이 엘티디","2002-11-05 00:00:00","10-0361413-0000","170"
"171","200008769","엑셀론캡슐1.5밀리그램(리바스티그민타르타르산염)","리바스티그민타르타르산염","Rivastigmine Tartarate","한국노바티스(주)","노파르티스 아게","1997-12-23 00:00:00","10-0133686-0000","171"
"172","200008770","엑셀론캡슐3.0밀리그램(리바스티그민타르타르산염)","리바스티그민타르타르산염","Rivastigmine Tartarate","한국노바티스(주)","노파르티스 아게","1997-12-23 00:00:00","10-0133686-0000","172"
"173","200008771","엑셀론캡슐4.5밀리그램(리바스티그민타르타르산염)","리바스티그민타르타르산염","Rivastigmine Tartarate","한국노바티스(주)","노파르티스 아게","1997-12-23 00:00:00","10-0133686-0000","173"
"174","200008772","엑셀론캡슐6.0밀리그램(리바스티그민타르타르산염)","리바스티그민타르타르산염","Rivastigmine Tartarate","한국노바티스(주)","노파르티스 아게","1997-12-23 00:00:00","10-0133686-0000","174"
"175","200008776","트리렙탈필름코팅정150밀리그램(옥스카르바제핀)","옥스카르바제핀","Oxcarbazepine","한국노바티스(주)","노파르티스 아게","2005-05-27 00:00:00","10-0493836-0000","175"
"176","200008777","트리렙탈필름코팅정300밀리그램(옥스카르바제핀)","옥스카르바제핀","Oxcarbazepine","한국노바티스(주)","노파르티스 아게","2005-05-27 00:00:00","10-0493836-0000","176"
"177","200008778","트리렙탈필름코팅정600밀리그램(옥스카르바제핀)","옥스카르바제핀","Oxcarbazepine","한국노바티스(주)","노파르티스 아게","2005-05-27 00:00:00","10-0493836-0000","177"
"178","200008796","젤로다정150밀리그램(카페시타빈)","카페시타빈","Capecitabine","(주)한국로슈","에프. 호프만-라 로슈 아게","2002-07-22 00:00:00","10-0347218-0000","178"
"179","200008797","젤로다정500밀리그램(카페시타빈)","카페시타빈","Capecitabine","(주)한국로슈","에프. 호프만-라 로슈 아게","2002-07-22 00:00:00","10-0347218-0000","179"
"180","200008798","타미플루캡슐75밀리그램(인산오셀타미비르)","인산 오셀타미비르","Oseltamivir Phosphate","(주)한국로슈","길리애드 사이언시즈, 인코포레이티드","2004-08-25 00:00:00","10-0447096-0000","180"
"181","200008802","노비르연질캅셀100밀리그람(리토나비르)","리토나비르","Ritonavir","한국애브비(주)","애브비 인코포레이티드","1999-01-06 00:00:00","10-0187613-0000","181"
"182","200008802","노비르연질캅셀100밀리그람(리토나비르)","리토나비르","Ritonavir","한국애브비(주)","애브비 인코포레이티드","2002-04-04 00:00:00","10-0333016-0000","182"
"183","200008802","노비르연질캅셀100밀리그람(리토나비르)","리토나비르","Ritonavir","한국애브비(주)","애브비 인코포레이티드","2005-03-11 00:00:00","10-0478075-0000","183"
"184","200008802","노비르연질캅셀100밀리그람(리토나비르)","리토나비르","Ritonavir","한국애브비(주)","애브비 인코포레이티드","2008-03-14 00:00:00","10-0815412-0000","184"
"185","200008802","노비르연질캅셀100밀리그람(리토나비르)","리토나비르","Ritonavir","한국애브비(주)","애브비 인코포레이티드","2008-08-14 00:00:00","10-0853371-0000","185"
"186","200008944","인트론에이멀티도스펜1천8백만단위(인터페론알파-2b,유전자재조합)","인터페론알파-2B","Interferon Alpha-2B","한국엠에스디(유)","머크 샤프 앤드 돔 코포레이션","2003-09-30 00:00:00","10-0401401-0000","186"
"187","200008947","인트론에이멀티도스펜3천만단위(인터페론알파-2b,유전자재조합)","인터페론알파-2B","Interferon Alpha-2B","한국엠에스디(유)","머크 샤프 앤드 돔 코포레이션","2003-09-30 00:00:00","10-0401401-0000","187"
"188","200008952","에리우스정(데스로라타딘(미분화))","데스로라타딘(미분화)","Desloratadine Micronized","한국엠에스디(유)","머크 샤프 앤드 돔 코포레이션","2004-02-17 00:00:00","10-0420641-0000","188"
"189","200008962","메탈라제주사50mg(테넥테플라제)","테넥테플라제(숙주세포:CHO-DP-12,벡터:pSV16B.TNK,pSV15D,YL1)","Tenecteplase","한국베링거인겔하임(주)","제넨테크, 인크.","1998-05-28 00:00:00","10-0148575-0000","189"
"190","200008963","메탈라제주사40mg(테넥테플라제)","테넥테플라제(숙주세포:CHO-DP-12,벡터:pSV16B.TNK,pSV15D,YL1)","Tenecteplase","한국베링거인겔하임(주)","제넨테크, 인크.","1998-05-28 00:00:00","10-0148575-0000","190"
"191","200009026","넥시움정40밀리그램(에스오메프라졸마그네슘)","에스오메프라졸마그네슘삼수화물","Esomeprazole Magnesium Trihydrate","한국아스트라제네카(주)","아스트라제네카 아베","2002-05-07 00:00:00","10-0337274-0000","191"
"192","200009026","넥시움정40밀리그램(에스오메프라졸마그네슘)","에스오메프라졸마그네슘삼수화물","Esomeprazole Magnesium Trihydrate","한국아스트라제네카(주)","아스트라제네카 아베","2003-05-10 00:00:00","10-0384960-0000","192"
"193","200009026","넥시움정40밀리그램(에스오메프라졸마그네슘)","에스오메프라졸마그네슘삼수화물","Esomeprazole Magnesium Trihydrate","한국아스트라제네카(주)","아스트라제네카 아베","2005-12-27 00:00:00","10-0540720-0000","193"
"194","200009027","넥시움정20밀리그램(에스오메프라졸마그네슘)","에스오메프라졸마그네슘삼수화물","Esomeprazole Magnesium Trihydrate","한국아스트라제네카(주)","아스트라제네카 아베","2002-05-07 00:00:00","10-0337274-0000","194"
"195","200009027","넥시움정20밀리그램(에스오메프라졸마그네슘)","에스오메프라졸마그네슘삼수화물","Esomeprazole Magnesium Trihydrate","한국아스트라제네카(주)","아스트라제네카 아베","2003-05-10 00:00:00","10-0384960-0000","195"
"196","200009027","넥시움정20밀리그램(에스오메프라졸마그네슘)","에스오메프라졸마그네슘삼수화물","Esomeprazole Magnesium Trihydrate","한국아스트라제네카(주)","아스트라제네카 아베","2005-12-27 00:00:00","10-0540720-0000","196"
"197","200009386","옥시콘틴서방정10밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","그뤼넨탈 게엠베하","2000-11-14 00:00:00","10-0280973-0000","197"
"198","200009386","옥시콘틴서방정10밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","그뤼넨탈 게엠베하","2013-05-16 00:00:00","10-1266925-0000","198"
"199","200009386","옥시콘틴서방정10밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","그뤼넨탈 게엠베하","2013-08-20 00:00:00","10-1299928-0000","199"
"200","200009386","옥시콘틴서방정10밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","그뤼넨탈 게엠베하","2015-02-17 00:00:00","10-1496510-0000","200"
"201","200009386","옥시콘틴서방정10밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","그뤼넨탈 게엠베하","2015-04-16 00:00:00","10-1514388-0000","201"
"202","200009386","옥시콘틴서방정10밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","그뤼넨탈 게엠베하","2017-10-12 00:00:00","10-1787605-0000","202"
"203","200009386","옥시콘틴서방정10밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","먼디파머 래버러토리즈 게엠베하","2000-11-14 00:00:00","10-0280973-0000","203"
"204","200009386","옥시콘틴서방정10밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","먼디파머 래버러토리즈 게엠베하","2013-05-16 00:00:00","10-1266925-0000","204"
"205","200009386","옥시콘틴서방정10밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","먼디파머 래버러토리즈 게엠베하","2013-08-20 00:00:00","10-1299928-0000","205"
"206","200009386","옥시콘틴서방정10밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","먼디파머 래버러토리즈 게엠베하","2015-02-17 00:00:00","10-1496510-0000","206"
"207","200009386","옥시콘틴서방정10밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","먼디파머 래버러토리즈 게엠베하","2015-04-16 00:00:00","10-1514388-0000","207"
"208","200009386","옥시콘틴서방정10밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","먼디파머 래버러토리즈 게엠베하","2017-10-12 00:00:00","10-1787605-0000","208"
"209","200009386","옥시콘틴서방정10밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","퍼듀 퍼머 엘피","2000-11-14 00:00:00","10-0280973-0000","209"
"210","200009386","옥시콘틴서방정10밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","퍼듀 퍼머 엘피","2013-05-16 00:00:00","10-1266925-0000","210"
"211","200009386","옥시콘틴서방정10밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","퍼듀 퍼머 엘피","2013-08-20 00:00:00","10-1299928-0000","211"
"212","200009386","옥시콘틴서방정10밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","퍼듀 퍼머 엘피","2015-02-17 00:00:00","10-1496510-0000","212"
"213","200009386","옥시콘틴서방정10밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","퍼듀 퍼머 엘피","2015-04-16 00:00:00","10-1514388-0000","213"
"214","200009386","옥시콘틴서방정10밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","퍼듀 퍼머 엘피","2017-10-12 00:00:00","10-1787605-0000","214"
"215","200009387","옥시콘틴서방정20밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","그뤼넨탈 게엠베하","2000-11-14 00:00:00","10-0280973-0000","215"
"216","200009387","옥시콘틴서방정20밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","그뤼넨탈 게엠베하","2013-05-16 00:00:00","10-1266925-0000","216"
"217","200009387","옥시콘틴서방정20밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","그뤼넨탈 게엠베하","2013-08-20 00:00:00","10-1299928-0000","217"
"218","200009387","옥시콘틴서방정20밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","그뤼넨탈 게엠베하","2015-02-17 00:00:00","10-1496510-0000","218"
"219","200009387","옥시콘틴서방정20밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","그뤼넨탈 게엠베하","2015-04-16 00:00:00","10-1514388-0000","219"
"220","200009387","옥시콘틴서방정20밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","그뤼넨탈 게엠베하","2017-10-12 00:00:00","10-1787605-0000","220"
"221","200009387","옥시콘틴서방정20밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","먼디파머 래버러토리즈 게엠베하","2000-11-14 00:00:00","10-0280973-0000","221"
"222","200009387","옥시콘틴서방정20밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","먼디파머 래버러토리즈 게엠베하","2013-05-16 00:00:00","10-1266925-0000","222"
"223","200009387","옥시콘틴서방정20밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","먼디파머 래버러토리즈 게엠베하","2013-08-20 00:00:00","10-1299928-0000","223"
"224","200009387","옥시콘틴서방정20밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","먼디파머 래버러토리즈 게엠베하","2015-02-17 00:00:00","10-1496510-0000","224"
"225","200009387","옥시콘틴서방정20밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","먼디파머 래버러토리즈 게엠베하","2015-04-16 00:00:00","10-1514388-0000","225"
"226","200009387","옥시콘틴서방정20밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","먼디파머 래버러토리즈 게엠베하","2017-10-12 00:00:00","10-1787605-0000","226"
"227","200009387","옥시콘틴서방정20밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","퍼듀 퍼머 엘피","2000-11-14 00:00:00","10-0280973-0000","227"
"228","200009387","옥시콘틴서방정20밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","퍼듀 퍼머 엘피","2013-05-16 00:00:00","10-1266925-0000","228"
"229","200009387","옥시콘틴서방정20밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","퍼듀 퍼머 엘피","2013-08-20 00:00:00","10-1299928-0000","229"
"230","200009387","옥시콘틴서방정20밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","퍼듀 퍼머 엘피","2015-02-17 00:00:00","10-1496510-0000","230"
"231","200009387","옥시콘틴서방정20밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","퍼듀 퍼머 엘피","2015-04-16 00:00:00","10-1514388-0000","231"
"232","200009387","옥시콘틴서방정20밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","퍼듀 퍼머 엘피","2017-10-12 00:00:00","10-1787605-0000","232"
"233","200009388","옥시콘틴서방정40밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","그뤼넨탈 게엠베하","2000-11-14 00:00:00","10-0280973-0000","233"
"234","200009388","옥시콘틴서방정40밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","그뤼넨탈 게엠베하","2013-05-16 00:00:00","10-1266925-0000","234"
"235","200009388","옥시콘틴서방정40밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","그뤼넨탈 게엠베하","2013-08-20 00:00:00","10-1299928-0000","235"
"236","200009388","옥시콘틴서방정40밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","그뤼넨탈 게엠베하","2015-02-17 00:00:00","10-1496510-0000","236"
"237","200009388","옥시콘틴서방정40밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","그뤼넨탈 게엠베하","2015-04-16 00:00:00","10-1514388-0000","237"
"238","200009388","옥시콘틴서방정40밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","그뤼넨탈 게엠베하","2017-10-12 00:00:00","10-1787605-0000","238"
"239","200009388","옥시콘틴서방정40밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","먼디파머 래버러토리즈 게엠베하","2000-11-14 00:00:00","10-0280973-0000","239"
"240","200009388","옥시콘틴서방정40밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","먼디파머 래버러토리즈 게엠베하","2013-05-16 00:00:00","10-1266925-0000","240"
"241","200009388","옥시콘틴서방정40밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","먼디파머 래버러토리즈 게엠베하","2013-08-20 00:00:00","10-1299928-0000","241"
"242","200009388","옥시콘틴서방정40밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","먼디파머 래버러토리즈 게엠베하","2015-02-17 00:00:00","10-1496510-0000","242"
"243","200009388","옥시콘틴서방정40밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","먼디파머 래버러토리즈 게엠베하","2015-04-16 00:00:00","10-1514388-0000","243"
"244","200009388","옥시콘틴서방정40밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","먼디파머 래버러토리즈 게엠베하","2017-10-12 00:00:00","10-1787605-0000","244"
"245","200009388","옥시콘틴서방정40밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","퍼듀 퍼머 엘피","2000-11-14 00:00:00","10-0280973-0000","245"
"246","200009388","옥시콘틴서방정40밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","퍼듀 퍼머 엘피","2013-05-16 00:00:00","10-1266925-0000","246"
"247","200009388","옥시콘틴서방정40밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","퍼듀 퍼머 엘피","2013-08-20 00:00:00","10-1299928-0000","247"
"248","200009388","옥시콘틴서방정40밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","퍼듀 퍼머 엘피","2015-02-17 00:00:00","10-1496510-0000","248"
"249","200009388","옥시콘틴서방정40밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","퍼듀 퍼머 엘피","2015-04-16 00:00:00","10-1514388-0000","249"
"250","200009388","옥시콘틴서방정40밀리그램(옥시코돈염산염)","옥시코돈염산염","Oxycodone Hydrochloride","한국먼디파마 유한회사","퍼듀 퍼머 엘피","2017-10-12 00:00:00","10-1787605-0000","250"
"251","200009522","머시론정","데소게스트렐","Desogestrel","한국엠에스디(유)","엠에스디 오스 비. 브이.","2002-08-06 00:00:00","10-0349230-0000","251"
"252","200009522","머시론정","에티닐에스트라디올","Ethinyl Estradiol","한국엠에스디(유)","엠에스디 오스 비. 브이.","2002-08-06 00:00:00","10-0349230-0000","252"
"253","200100865","알레그라정30밀리그람(펙소페나딘염산염)","펙소페나딘염산염","Fexofenadine Hydrochloride","(주)한독","아벤티서브 투, 인코포레이티드","2003-10-30 00:00:00","10-0405116-0000","253"
"254","200101728","레보비르캡슐10밀리그램(클레부딘)","클레부딘","Clevudine","부광약품(주)","예일 유니버시티, 유니버시티 오브 조지아 리서치 파운데이션 인코포레이티드","2002-01-05 00:00:00","10-0321209-0000","254"
"255","200102705","광동우황청심원(사향대체물질영묘향함유)","감초","Licorice","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","255"
"256","200102705","광동우황청심원(사향대체물질영묘향함유)","건강","Ginger","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","256"
"257","200102705","광동우황청심원(사향대체물질영묘향함유)","길경","Platycodon Root","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","257"
"258","200102705","광동우황청심원(사향대체물질영묘향함유)","당귀","Angelica Gigas Root","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","258"
"259","200102705","광동우황청심원(사향대체물질영묘향함유)","대두황권","Glycine Semen Germinatum","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","259"
"260","200102705","광동우황청심원(사향대체물질영묘향함유)","맥문동","Liriope Tuber","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","260"
"261","200102705","광동우황청심원(사향대체물질영묘향함유)","방풍","Saposhnikovia Root","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","261"
"262","200102705","광동우황청심원(사향대체물질영묘향함유)","백렴","Ampelopsis Radix","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","262"
"263","200102705","광동우황청심원(사향대체물질영묘향함유)","백출","Atractylodes Rhizome White","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","263"
"264","200102705","광동우황청심원(사향대체물질영묘향함유)","복령","Poria","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","264"
"265","200102705","광동우황청심원(사향대체물질영묘향함유)","산약","Dioscorea Rhizome","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","265"
"266","200102705","광동우황청심원(사향대체물질영묘향함유)","시호","Bupleurum Root","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","266"
"267","200102705","광동우황청심원(사향대체물질영묘향함유)","신곡","Massa Medicata Fermentata","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","267"
"268","200102705","광동우황청심원(사향대체물질영묘향함유)","아교","Asini Corii Colla","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","268"
"269","200102705","광동우황청심원(사향대체물질영묘향함유)","영묘향","Civet","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","269"
"270","200102705","광동우황청심원(사향대체물질영묘향함유)","영양각","Gazellae seu Saigae Cornu","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","270"
"271","200102705","광동우황청심원(사향대체물질영묘향함유)","용뇌","Bomeolum","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","271"
"272","200102705","광동우황청심원(사향대체물질영묘향함유)","우황","Cattle Gallstone","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","272"
"273","200102705","광동우황청심원(사향대체물질영묘향함유)","육계","Cinnamon Bark","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","273"
"274","200102705","광동우황청심원(사향대체물질영묘향함유)","인삼","Ginseng","광동제약(주)","광동제약(주)","2004-08-26 00:00:00","10-0447332-0000","274"
